Input Size,Run Time (ns)
0,1642
1,1915
2,1778
3,1778
4,2052
5,2052
6,1915
7,2052
8,1915
9,1779
10,1916
11,2052
12,1915
13,2052
14,1916
15,2052
16,2052
17,2189
18,2189
19,2053
20,2053
21,2463
22,2052
23,3421
24,4105
